
date_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
tag: mobile2_emore_v1
pretrain: 
per_batch_size: 128
save: 1, max_steps: 350000, lr: 0.10000, verbose: 1000, margin_a: 1.00, margin_m: 0.30, margin_b: 0.20

version_se: 0
do_save: True
verbose: 1000
cutoff: 0
version_input: 1
rand_mirror: 1
emb_size: 512
ckpt: 1
tag: mobile2_emore_v1
num_layers: 2
use_deformable: 0
config_dir: /home/meiyiyang/Face/insightface/output/config
ctx_num: 4
do_save_threshold: 0.99
scale: 0.9993
data_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
network: m2
margin_s: 64.0
center_alpha: 0.5
version_act: prelu
result_dir: /home/meiyiyang/Face/insightface/output/result
beta_freeze: 0
lr: 0.1
triplet_bag_size: 3600
margin_m: 0.3
num_classes: 85742
end_epoch: 100000
margin_a: 1.0
triplet_max_ap: 0.0
lr_steps: 
log_dir: /home/meiyiyang/Face/insightface/output/log
last_epoch: 0
loss_type: 4
wd: 0.0005
power: 1.0
version_unit: 3
batch_size: 512
beta: 1000.0
mom: 0.9
margin_b: 0.2
triplet_alpha: 0.3
easy_margin: 0
version_output: E
image_channel: 3
gamma: 0.12
target: lfw,classify_megaface
image_w: 112
rescale_threshold: 0
images_per_identity: 0
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
fc7_wd_mult: 1.0
per_batch_size: 128
beta_min: 5.0
center_scale: 0.003
pretrained: 
fine_tune: 0
image_h: 112
max_steps: 350000
margin: 4
bn_mom: 0.9

20181027-025904	87000	87	0.1000	lfw	0.98433	0.00696	0.94633	0.01709	classify_megaface	0.85426	0.00000	0.00000	0.00000	
20181027-030900	88000	88	0.1000	lfw	0.98550	0.00601	0.95000	0.02017	classify_megaface	0.84483	0.00000	0.00000	0.00000	
20181027-031857	89000	89	0.1000	lfw	0.98600	0.00429	0.93233	0.02066	classify_megaface	0.86211	0.00000	0.00000	0.00000	
20181027-032853	90000	90	0.1000	lfw	0.98483	0.00589	0.92567	0.02050	classify_megaface	0.85865	0.00000	0.00000	0.00000	
20181027-033852	91000	91	0.1000	lfw	0.98133	0.00536	0.88700	0.02397	classify_megaface	0.83132	0.00000	0.00000	0.00000	
20181027-034847	92000	92	0.1000	lfw	0.98350	0.00630	0.93367	0.02208	classify_megaface	0.85697	0.00000	0.00000	0.00000	
20181027-035843	93000	93	0.1000	lfw	0.97733	0.00676	0.91400	0.02190	classify_megaface	0.82290	0.00000	0.00000	0.00000	
20181027-040839	94000	94	0.1000	lfw	0.98633	0.00678	0.94267	0.01548	classify_megaface	0.86544	0.00000	0.00000	0.00000	
20181027-041835	95000	95	0.1000	lfw	0.98133	0.00819	0.91533	0.02437	classify_megaface	0.84304	0.00000	0.00000	0.00000	
20181027-042831	96000	96	0.1000	lfw	0.97217	0.01216	0.85867	0.02172	classify_megaface	0.77563	0.00000	0.00000	0.00000	
20181027-043826	97000	97	0.1000	lfw	0.98417	0.00716	0.93967	0.02188	classify_megaface	0.86482	0.00000	0.00000	0.00000	
20181027-044911	98000	98	0.1000	lfw	0.98050	0.00592	0.94000	0.01506	classify_megaface	0.83022	0.00000	0.00000	0.00000	
20181027-045910	99000	99	0.1000	lfw	0.98383	0.00483	0.92333	0.02481	classify_megaface	0.84362	0.00000	0.00000	0.00000	
20181027-050907	100000	100	0.1000	lfw	0.98317	0.00589	0.93567	0.02324	classify_megaface	0.84199	0.00000	0.00000	0.00000	
20181027-051903	101000	101	0.1000	lfw	0.98617	0.00610	0.94067	0.01548	classify_megaface	0.86474	0.00000	0.00000	0.00000	
20181027-052901	102000	102	0.1000	lfw	0.98250	0.00539	0.93067	0.01444	classify_megaface	0.85169	0.00000	0.00000	0.00000	
20181027-053921	103000	103	0.1000	lfw	0.98417	0.00724	0.91367	0.02488	classify_megaface	0.85059	0.00000	0.00000	0.00000	
20181027-054917	104000	104	0.1000	lfw	0.98567	0.00620	0.95300	0.01722	classify_megaface	0.86851	0.00000	0.00000	0.00000	
20181027-055937	105000	105	0.1000	lfw	0.98433	0.00638	0.93900	0.02071	classify_megaface	0.83090	0.00000	0.00000	0.00000	
20181027-060934	106000	106	0.1000	lfw	0.98583	0.00310	0.93600	0.01541	classify_megaface	0.86344	0.00000	0.00000	0.00000	
20181027-061930	107000	107	0.1000	lfw	0.98283	0.00533	0.93667	0.01619	classify_megaface	0.86488	0.00000	0.00000	0.00000	
